"ProblemID","SubjectID","StartOrder","FirstCorrect","EverCorrect","UsedHint","Attempts","pCorrectForProblem","medAttemptsForProblem","priorPercentCorrect","priorPercentCompleted","priorAttempts","prediction","fold"
"helloWorld","S049",1938,TRUE,TRUE,FALSE,1,0.53030303030303,1,0.5,0.5,0,FALSE,0
"doubleX","S049",1939,TRUE,TRUE,FALSE,1,0.966101694915254,1,1,1,1,TRUE,0
"raiseToPower","S049",1940,TRUE,TRUE,FALSE,1,0.886792452830189,1,1,1,2,TRUE,0
"convertToDegrees","S049",1941,FALSE,TRUE,FALSE,4,0.38,1,1,1,3,FALSE,0
"isPunctuation","S049",1945,FALSE,TRUE,FALSE,2,0.125,3,0.75,1,4,FALSE,0
"findRoot","S049",1970,TRUE,TRUE,FALSE,1,0.459459459459459,1,0.6,1,5,FALSE,0
"intToFloat","S049",1975,TRUE,TRUE,FALSE,1,0.878048780487805,1,0.666666666666667,1,6,TRUE,0
"leftoverCandy","S049",1978,FALSE,TRUE,FALSE,7,0.761904761904762,1,0.714285714285714,1,7,TRUE,0
"howManyEggCartons","S049",2037,FALSE,FALSE,FALSE,14,0.216216216216216,3,0.625,1,8,FALSE,0
"backwardsCombine","S049",2884,FALSE,FALSE,FALSE,1,0.772727272727273,1,0.555555555555556,0.888888888888889,9,TRUE,0
"helloWorld","S194",2406,TRUE,TRUE,FALSE,1,0.53030303030303,1,0.5,0.5,0,FALSE,0
"doubleX","S194",2407,TRUE,TRUE,FALSE,1,0.966101694915254,1,1,1,1,TRUE,0
"raiseToPower","S194",2408,TRUE,TRUE,FALSE,1,0.886792452830189,1,1,1,2,TRUE,0
"convertToDegrees","S194",2410,FALSE,FALSE,TRUE,2,0.38,1,1,1,3,FALSE,0
"isPunctuation","S194",2423,FALSE,FALSE,TRUE,0,0.125,3,0.75,0.75,4,FALSE,0
"helloWorld","S198",1354,FALSE,TRUE,FALSE,3,0.53030303030303,1,0.5,0.5,0,FALSE,0
"helloWorld","S378",77,TRUE,TRUE,FALSE,1,0.53030303030303,1,0.5,0.5,0,FALSE,0
"doubleX","S378",78,TRUE,TRUE,FALSE,1,0.966101694915254,1,1,1,1,TRUE,0
"helloWorld","S430",1576,FALSE,TRUE,FALSE,8,0.53030303030303,1,0.5,0.5,0,FALSE,0
"doubleX","S430",1584,TRUE,TRUE,FALSE,1,0.966101694915254,1,0,1,1,TRUE,0
"raiseToPower","S430",1587,TRUE,TRUE,FALSE,1,0.886792452830189,1,0.5,1,2,TRUE,0
"convertToDegrees","S430",1588,TRUE,TRUE,FALSE,1,0.38,1,0.666666666666667,1,3,FALSE,0
"findRoot","S430",1589,TRUE,TRUE,FALSE,1,0.459459459459459,1,0.75,1,4,FALSE,0
"intToFloat","S430",1590,TRUE,TRUE,FALSE,1,0.878048780487805,1,0.8,1,5,TRUE,0
"leftoverCandy","S430",1591,TRUE,TRUE,FALSE,1,0.761904761904762,1,0.833333333333333,1,6,TRUE,0
"howManyEggCartons","S430",1592,TRUE,TRUE,FALSE,1,0.216216216216216,3,0.857142857142857,1,7,FALSE,0
"kthDigit","S430",1593,FALSE,TRUE,FALSE,2,0.171428571428571,3,0.875,1,8,FALSE,0
"nearestBusStop","S430",1595,FALSE,TRUE,FALSE,15,0.161290322580645,2,0.777777777777778,1,9,FALSE,0
"overNineThousand","S430",1610,FALSE,TRUE,FALSE,2,0.724137931034483,1,0.7,1,10,TRUE,0
"hasTwoDigits","S430",1612,FALSE,TRUE,FALSE,12,0.413793103448276,2,0.636363636363636,1,11,FALSE,0
"canDrinkAlcohol","S430",1624,TRUE,TRUE,FALSE,1,0.296296296296296,3,0.583333333333333,1,12,FALSE,0
