"ProblemID","pCorrect","pPredicted","tp","tn","fp","fn","accuracy","precision","recall","f1","kappa"
"backwardsCombine",0.75,1,0.75,0,0.25,0,0.75,0.75,1,0.857142857142857,0
"canDrinkAlcohol",0.344827586206897,0,0,0.655172413793103,0,0.344827586206897,0.655172413793103,NA,0,NA,0
"convertToDegrees",0.363636363636364,0,0,0.636363636363636,0,0.363636363636364,0.636363636363636,NA,0,NA,0
"doubleX",0.953846153846154,1,0.953846153846154,0,0.0461538461538462,0,0.953846153846154,0.953846153846154,1,0.976377952755905,0
"findRoot",0.463414634146341,0.170731707317073,0.024390243902439,0.390243902439024,0.146341463414634,0.439024390243902,0.414634146341463,0.142857142857143,0.0526315789473684,0.0769230769230769,-0.23
"firstAndLast",0.409090909090909,0,0,0.590909090909091,0,0.409090909090909,0.590909090909091,NA,0,NA,2.71387850463927e-16
"hasTwoDigits",0.387096774193548,0,0,0.612903225806452,0,0.387096774193548,0.612903225806452,NA,0,NA,0
"helloWorld",0.520547945205479,0.0273972602739726,0.0273972602739726,0.479452054794521,0,0.493150684931507,0.506849315068493,1,0.0526315789473684,0.1,0.0505780346820809
"howManyEggCartons",0.24390243902439,0,0,0.75609756097561,0,0.24390243902439,0.75609756097561,NA,0,NA,0
"intToFloat",0.888888888888889,1,0.888888888888889,0,0.111111111111111,0,0.888888888888889,0.888888888888889,1,0.941176470588235,0
"isEvenPositiveInt",0.166666666666667,0,0,0.833333333333333,0,0.166666666666667,0.833333333333333,NA,0,NA,0
"isPunctuation",0.111111111111111,0,0,0.888888888888889,0,0.111111111111111,0.888888888888889,NA,0,NA,0
"kthDigit",0.162162162162162,0,0,0.837837837837838,0,0.162162162162162,0.837837837837838,NA,0,NA,0
"leftoverCandy",0.760869565217391,1,0.760869565217391,0,0.239130434782609,0,0.760869565217391,0.760869565217391,1,0.864197530864198,0
"nearestBusStop",0.151515151515152,0,0,0.848484848484849,0,0.151515151515152,0.848484848484849,NA,0,NA,0
"oneToN",0.2,0,0,0.8,0,0.2,0.8,NA,0,NA,0
"overNineThousand",0.67741935483871,0.935483870967742,0.612903225806452,0,0.32258064516129,0.0645161290322581,0.612903225806452,0.655172413793103,0.904761904761905,0.76,-0.120481927710843
"raiseToPower",0.879310344827586,1,0.879310344827586,0,0.120689655172414,0,0.879310344827586,0.879310344827586,1,0.935779816513761,0
"singlePigLatin",0.363636363636364,0,0,0.636363636363636,0,0.363636363636364,0.636363636363636,NA,0,NA,0
